Type,0-0.5,0.5-0.55,0.55-0.6,0.6-0.65,0.65-0.7,0.7-0.75,0.75-0.8,0.8-0.85,0.85-0.9,0.9-0.95,0.95-1.0
Clone,15,24,29,64,82,126,138,181,167,240,1334
NoClone,109,17,33,40,53,60,43,31,9,3,2
